Year,State Name,State Number,Population,Move In,Move Out,Delta,Per Capita Income,Poverty Count,Poverty Rate,Rent(%),House with mortgage(%),House without mortgage(%),Mean of Trans by Age,Travel Time to Work,Race Total,White alone,Block or African American alone,American Indian and Alaska Native Alone,Asian Alone,Unemployement count
2013,California,06,37659181.0,485477.0,581679.0,-96202.0,29527.0,5885417.0,15.628106729139967,33.7,29.2,11.3,16290887.0,15437979.0,37659181.0,23467167.0,2255372.0,286397.0,5005635.0,2168665.0
2013,Colorado,08,5119329.0,206543.0,166348.0,40195.0,31109.0,660874.0,12.909387148198524,30.9,24.0,10.2,2494794.0,2331060.0,5119329.0,4301096.0,203755.0,49177.0,141719.0,231741.0
2013,Florida,12,19091156.0,529406.0,423995.0,105411.0,26236.0,3052807.0,15.990686996638653,34.9,28.0,13.6,8094220.0,7706393.0,19091156.0,14568521.0,3056152.0,58390.0,475905.0,1096028.0
2013,Idaho,16,1583364.0,61592.0,63788.0,-2196.0,22568.0,240298.0,15.176421846145296,29.8,24.1,10.2,684393.0,645127.0,1583364.0,1455692.0,8957.0,19984.0,20141.0,67189.0
2013,Oregon,41,3868721.0,143841.0,111680.0,32161.0,26809.0,614778.0,15.890988262012174,32.2,26.2,12.8,1700451.0,1591348.0,3868721.0,3297149.0,70328.0,47411.0,147986.0,221191.0
2013,Texas,48,25639373.0,548034.0,409977.0,138057.0,26019.0,4416829.0,17.226743415293345,29.6,22.5,12.0,11445014.0,10983502.0,25639373.0,19075100.0,3030970.0,129219.0,1019260.0,1020132.0
2014,California,06,38066920.0,513968.0,593308.0,-79340.0,29906.0,6115244.0,16.064457014121448,33.8,28.3,11.3,16529777.0,15658667.0,38066920.0,23650913.0,2262323.0,287360.0,5130536.0,2084564.0
2014,Colorado,08,5197580.0,218728.0,173332.0,45396.0,31674.0,663861.0,12.772501818153833,30.8,23.5,10.1,2544021.0,2377653.0,5197580.0,4364911.0,209062.0,49917.0,146561.0,219241.0
2014,Florida,12,19361792.0,546501.0,437516.0,108985.0,26499.0,3159259.0,16.316976238563043,34.7,26.9,13.3,8228557.0,7823816.0,19361792.0,14747196.0,3114841.0,59121.0,490833.0,1024905.0
2014,Idaho,16,1599464.0,64633.0,56887.0,7746.0,23087.0,244618.0,15.293748405715915,29.7,23.4,10.0,691425.0,650493.0,1599464.0,1468732.0,9334.0,20363.0,21749.0,61837.0
2014,Oregon,41,3900343.0,137008.0,103111.0,33897.0,27173.0,638816.0,16.378456971604805,32.5,25.5,12.7,1715236.0,1606350.0,3900343.0,3317668.0,70700.0,47155.0,152259.0,206222.0
2014,Texas,48,26092033.0,538572.0,435107.0,103465.0,26513.0,4500034.0,17.246774139830347,29.5,22.2,11.9,11685902.0,11211608.0,26092033.0,19499105.0,3094227.0,127236.0,1067008.0,982580.0
2015,California,06,38421464.0,514477.0,643710.0,-129233.0,30318.0,6135142.0,15.968006841176068,33.7,27.3,11.2,16869052.0,15968724.0,38421464.0,23747013.0,2265387.0,287028.0,5261978.0,1891081.0
2015,Colorado,08,5278906.0,227445.0,182945.0,44500.0,32217.0,653969.0,12.388343342351616,30.6,22.7,10.0,2606591.0,2432720.0,5278906.0,4446095.0,213787.0,50008.0,153467.0,195578.0
2015,Florida,12,19645772.0,584938.0,445320.0,139618.0,26829.0,3180109.0,16.187243748934886,34.4,25.6,12.9,8432513.0,8001338.0,19645772.0,14934702.0,3171108.0,54569.0,509085.0,915976.0
2015,Idaho,16,1616547.0,73809.0,55885.0,17924.0,23399.0,245177.0,15.166710278142238,29.4,22.7,10.0,704276.0,662486.0,1616547.0,1482914.0,9900.0,20504.0,21711.0,55312.0
2015,Oregon,41,3939233.0,141162.0,109240.0,31922.0,27684.0,636947.0,16.16931519409997,32.1,24.7,12.4,1751088.0,1641119.0,3939233.0,3352941.0,72837.0,46258.0,156695.0,184016.0
2015,Texas,48,26538614.0,553032.0,445343.0,107689.0,26999.0,4472451.0,16.852617095979465,29.3,21.7,11.7,11966019.0,11474628.0,26538614.0,19874610.0,3152917.0,126493.0,1124011.0,912068.0
2016,California,06,38654206.0,514758.0,657690.0,-142932.0,31458.0,6004257.0,15.533256587911804,33.4,26.5,11.1,17193695.0,16259259.0,38654206.0,23680584.0,2261835.0,285512.0,5354608.0,1683726.0
2016,Colorado,08,5359295.0,223260.0,193179.0,30081.0,33230.0,637938.0,11.903394009846444,30.6,22.1,10.0,2673188.0,2485469.0,5359295.0,4517058.0,219349.0,50160.0,157523.0,171695.0
2016,Florida,12,19934451.0,605018.0,433452.0,171566.0,27598.0,3139258.0,15.747902964571233,33.9,24.6,12.6,8649800.0,8183104.0,19934451.0,15130748.0,3216994.0,52904.0,521272.0,802016.0
2016,Idaho,16,1635483.0,71556.0,55772.0,15784.0,24280.0,244585.0,14.954909344823516,28.9,22.0,10.0,719853.0,677404.0,1635483.0,1493155.0,10433.0,21454.0,21630.0,48385.0
2016,Oregon,41,3982267.0,139334.0,107169.0,32165.0,28822.0,614223.0,15.423953240704353,31.6,23.9,12.2,1792129.0,1678025.0,3982267.0,3387825.0,74012.0,45233.0,160155.0,160797.0
2016,Texas,48,26956435.0,531996.0,444340.0,87656.0,27828.0,4397307.0,16.312642973746343,29.1,21.3,11.5,12237558.0,11716577.0,26956435.0,20174403.0,3221133.0,128145.0,1175423.0,848131.0
2017,California,06,38982847.0,523131.0,661026.0,-137895.0,33128.0,5773408.0,14.81012405276608,33.1,25.9,11.0,17589758.0,16611711.0,38982847.0,23607242.0,2263222.0,292018.0,5503672.0,1491146.0
2017,Colorado,08,5436519.0,226933.0,194296.0,32637.0,34845.0,612143.0,11.259833728163187,30.6,21.7,10.0,2742151.0,2539212.0,5436519.0,4576201.0,221155.0,51406.0,164771.0,152856.0
2017,Florida,12,20278447.0,566476.0,447586.0,118890.0,28774.0,3070972.0,15.144019657915619,33.6,23.8,12.4,8907171.0,8406771.0,20278447.0,15343997.0,3270863.0,56730.0,543394.0,699117.0
