OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM
1,2007,CA,CCO,LAC,OCTOBER,00246393,2007/10/21 00:00:00+00,2007/10/23 00:00:00+00,14,,,25.73671341,8,1,00233414
2,2007,CA,CCO,LAC,MAGIC,00233077,2007/10/22 00:00:00+00,2007/10/25 00:00:00+00,14,,,2824.87719727,8,1,00233077
3,2007,CA,USF,ANF,RANCH,00000166,2007/10/20 00:00:00+00,2007/11/15 00:00:00+00,2,,54716,58410.3359375,7,1,00000166
4,2007,CA,CCO,LAC,EMMA,00201384,2007/09/11 00:00:00+00,2007/09/11 00:00:00+00,14,,,172.21495056,8,1,00201384
5,2007,CA,CCO,LAC,CORRAL,00259483,2007/11/24 00:00:00+00,2007/11/27 00:00:00+00,14,,,4707.99707031,8,1,00259483
6,2007,CA,CCO,LAC,GORMAN,00109398,2007/05/19 00:00:00+00,2007/05/22 00:00:00+00,14,,,2373.8449707,8,1,00109398
7,2007,CA,CCO,LAC,WEST,00148311,2007/07/07 00:00:00+00,2007/07/08 00:00:00+00,14,,,245.23396301,8,1,00148311
8,2007,CA,CCO,LAC,PEARBLOSSOM,00177427,2007/08/13 00:00:00+00,2007/08/14 00:00:00+00,14,,,81.03350067,8,1,00177427
9,2007,CA,CCO,LAC,SKYLINE,00183643,2007/08/21 00:00:00+00,2007/08/23 00:00:00+00,14,,,95.41855621,8,1,00183643
10,2007,CA,CCO,LAC,SESNON,00231876,2007/10/21 00:00:00+00,2007/10/21 00:00:00+00,14,,,30.3014183,8,1,00231876
11,2007,CA,CCO,LAC,SOLEDAD,00233414,2007/10/22 00:00:00+00,2007/10/23 00:00:00+00,14,,,44.16777039,8,1,00233414
12,2007,CA,CCO,LAC,Y,00233912,2007/10/23 00:00:00+00,1970/01/01 00:00:00+00,14,,,22.49172974,,1,00233912
13,2007,CA,CDF,MVU,ANGEL 3,00009233,2007/09/15 00:00:00+00,2007/09/25 00:00:00+00,4, ,837,832.12652588,7,1,00000000
14,2007,CA,CDF,MVU,BANNER,00006310,2007/07/01 00:00:00+00,2007/07/03 00:00:00+00,14,,,95.15126038,7,1,00000000
15,2007,CA,CDF,HUU,CHAMBERS,00003235,2007/07/27 00:00:00+00,2007/07/29 00:00:00+00,7,,55,54.69635773,2,1,00000000
16,2007,CA,CDF,HUU,BROWN,00002877,2007/07/08 00:00:00+00,2007/07/08 00:00:00+00,2,,20,18.73177338,2,1,00000000
17,2007,CA,CDF,HUU,DRIFTWOOD,00004908,2007/10/25 00:00:00+00,2007/11/05 00:00:00+00,14,,70,52.9729538,1,1,00000000
18,2007,CA,CDF,HUU,CAPPEL,00004049,2007/09/05 00:00:00+00,2007/09/11 00:00:00+00,14,,20,12.89414597,1,1,00000000
19,2007,CA,CCO,KRN,MOUNTAIN,00717959,2007/07/19 00:00:00+00,2007/07/19 00:00:00+00,14,,840.56,840.55828857,1,1,00717959
20,2007,CA,CCO,KRN,WHITE,00018055,2007/06/24 00:00:00+00,2007/06/29 00:00:00+00,2,,12432.15,12432.16015625,7,1,00718055
21,2007,CA,USF,KRN,WOFFORD,00000000,2007/05/09 00:00:00+00,2007/05/13 00:00:00+00,9, ,567,567.456604,2,1,0713610
22,2007,CA,CCO,LAC,PEARBLOSSOM,00080271,2007/04/12 00:00:00+00,2007/04/13 00:00:00+00,14,,77,77.80277252,8,1,00080271
23,2007,CA,CCO,LAC,ISLAND,00102481,2007/05/10 00:00:00+00,2007/05/17 00:00:00+00,14,,4750,4722.96582031,8,1,00102481
24,2007,CA,CCO,LAC,CANYON,00148415,2007/07/07 00:00:00+00,1970/01/01 00:00:00+00,14,,743,743.47991943,,1,00148415
25,2007,CA,CCO,LAC,FAIRMONT,00193853,2007/09/01 00:00:00+00,2007/09/08 00:00:00+00,14,,211,211.62194824,8,1,00193853
26,2007,CA,CDF,FKU,AUBERRY,00009400,2007/08/28 00:00:00+00,2007/09/03 00:00:00+00,10,,150,150.93606567,2,1,00009400
27,2007,CA,CDF,FKU,GATOS,00009688,2007/09/02 00:00:00+00,2007/09/05 00:00:00+00,1,,100,83.05220032,2,1,00009688
28,2007,CA,LRA,MVU,CORONADO HILLS,00010492,2007/10/22 00:00:00+00,1970/01/01 00:00:00+00,14,,,58.7947464,3,1,00000000
29,2007,CA,CCO,LAC,MEADOW RIDGE,00233523,2007/10/23 00:00:00+00,2007/10/25 00:00:00+00,14,,,39.1084671,8,1,00233523
30,2007,CA,CDF,MMU,HIGHWAY 41/ RD 209 3,00005998,2007/05/20 00:00:00+00,1970/01/01 00:00:00+00,14,,,329.08093262,6,1,00000000
31,2007,CA,BLM,MVU,BORDER #34,00009128,2007/09/12 00:00:00+00,2007/09/16 00:00:00+00,14,,,109.22460938,6,1,00000000
32,2007,CA,LRA,MVU,78 #4,00006655,2007/07/09 00:00:00+00,2007/07/10 00:00:00+00,10,,70,99.97422028,6,1,00000000
33,2007,CA,CDF,MVU,BORDER #25,00006524,2007/07/06 00:00:00+00,2007/07/07 00:00:00+00,4,,50,136.20993042,6,1,00000000
34,2007,CA,CDF,MVU,VUELTA,00005764,2007/06/16 00:00:00+00,2007/06/18 00:00:00+00,14,,120,214.81335449,6,1,00000000
35,2007,CA,CDF,LMU,WILLOW,00003020,2007/07/06 00:00:00+00,2007/07/17 00:00:00+00,1,Timber,75,73.36000824,1,2,00000000
36,2007,CA,CDF,LMU,LOOKOUT,00004945,2007/10/02 00:00:00+00,2007/10/03 00:00:00+00,5,Grass and Brush Mix,64,64.5118103,1,1,00000000
37,2007,CA,CDF,LMU,PINE,00002692,2007/06/23 00:00:00+00,2007/07/29 00:00:00+00,5,Grass and Brush Mix,314,481.7800293,1,1,00000000
38,2007,CA,CDF,LMU,ISLAND,00002269,2007/06/01 00:00:00+00,2007/06/04 00:00:00+00,1,"Grass and sagebrush, outside of SRA.",518,517.56292725,1,1,00000000
39,2007,CA,CDF,LNU,HWY 128,00005933,2007/08/14 00:00:00+00,2007/08/15 00:00:00+00,14,,368,508.35110474,6,1,00000000
40,2007,CA,CDF,LNU,PEAK,00004843,2007/07/11 00:00:00+00,2007/07/11 00:00:00+00,2,,60,46.32199097,5,1,00000000
41,2007,CA,CDF,LNU,MOUNTAIN,00004247,2007/06/24 00:00:00+00,2007/06/27 00:00:00+00,14,,45,49.27823639,7,1,00000000
42,2007,CA,CDF,LNU,SPRUCE,00004982,2007/07/15 00:00:00+00,2007/07/15 00:00:00+00,11,,,129.01109314,5,1,00000000
43,2007,CA,CDF,LNU,BRAYE,00003042,2007/05/18 00:00:00+00,2007/05/22 00:00:00+00,14,,450,636.5302124,6,1,00000000
44,2007,CA,CDF,LNU,ROBINSON,00005400,2007/07/28 00:00:00+00,2007/07/30 00:00:00+00,7,Started on Robinson Rancheria,128,121.54821777,1,1,00000000
45,2007,CA,CDF,LNU,WEST,00005195,2007/07/22 00:00:00+00,2007/07/22 00:00:00+00,10,,40,36.99460983,6,1,00000000
