Year,State Name,Move In,Move Out,Delta
2013,Alabama,104102,97219,6883
2013,Alaska,34360,99931,-65571
2013,Arizona,236146,183178,52968
2013,Arkansas,70621,76963,-6342
2013,California,485477,581679,-96202
2013,Colorado,206543,166348,40195
2013,Connecticut,88351,91600,-3249
2013,Delaware,36790,24771,12019
2013,District of Columbia ,46571,57087,-10516
2013,Florida,529406,423995,105411
2013,Georgia,278972,270146,8826
2013,Hawaii,58083,60437,-2354
2013,Idaho,61592,63788,-2196
2013,Illinois,223605,304644,-81039
2013,Indiana,133508,135472,-1964
2013,Iowa,75650,77470,-1820
2013,Kansas,89735,93983,-4248
2013,Kentucky,103207,98713,4494
2013,Louisiana,91889,99711,-7822
2013,Maine,36780,28840,7940
2013,Maryland,161525,183316,-21791
2013,Massachusetts,135150,155524,-20374
2013,Michigan,144091,166996,-22905
2013,Minnesota,104825,119221,-14396
2013,Mississippi,68588,72430,-3842
2013,Missouri,159936,138612,21324
2013,Montana,40035,31590,8445
2013,Nebraska,45854,47755,-1901
2013,Nevada,126583,100922,25661
2013,New Hampshire,44867,46086,-1219
2013,New Jersey,136907,202319,-65412
2013,New Mexico,56808,75597,-18789
2013,New York,272066,401440,-129374
2013,North Carolina,275922,247090,28832
2013,North Dakota,38908,29808,9100
2013,Ohio,185749,201515,-15766
2013,Oklahoma,109255,100561,8694
2013,Oregon,143841,111680,32161
2013,Pennsylvania,224280,247295,-23015
2013,Rhode Island,34108,36119,-2011
2013,South Carolina,166047,128726,37321
2013,South Dakota,30042,29118,924
2013,Tennessee,186525,159497,27028
2013,Texas,548034,409977,138057
2013,Utah,97869,91943,5926
2013,Vermont,23180,21773,1407
2013,Virginia,266348,236420,29928
2013,Washington,208215,191053,17162
2013,West Virginia,51957,48627,3330
2013,Wisconsin,100846,110198,-9352
2013,Wyoming,27584,28150,-566
2013,Puerto Rico,24652,73846,-49194
2014,Alabama,107919,111655,-3736
2014,Alaska,37842,92637,-54795
2014,Arizona,249730,203810,45920
2014,Arkansas,74741,65198,9543
2014,California,513968,593308,-79340
2014,Colorado,218728,173332,45396
2014,Connecticut,82746,95501,-12755
2014,Delaware,32166,27179,4987
2014,District of Columbia ,56234,59138,-2904
2014,Florida,546501,437516,108985
2014,Georgia,274095,245570,28525
2014,Hawaii,58144,60739,-2595
2014,Idaho,64633,56887,7746
2014,Illinois,209536,323468,-113932
2014,Indiana,139846,136869,2977
2014,Iowa,79194,76960,2234
2014,Kansas,96467,93047,3420
2014,Kentucky,104975,98496,6479
2014,Louisiana,97814,85901,11913
2014,Maine,39065,32076,6989
2014,Maryland,156787,177059,-20272
2014,Massachusetts,146622,153736,-7114
2014,Michigan,149991,173337,-23346
2014,Minnesota,106783,121319,-14536
2014,Mississippi,73927,72543,1384
2014,Missouri,153320,154226,-906
2014,Montana,37561,35654,1907
